       origin,            N,           r0,   integrator,           ic,           dt,          div,           cc,          mcc,            t,       parity,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         6106,           23,     0.967742,            0,            1,     0.886959,     0.085737,     0.134609,    -0.583469,            2,     0.632481,     0.879056,    -0.418343,    -0.478865,            3,     0.948193,     0.884622,    -1.328319,    -0.487509,            4,     0.272821,     0.808564,    -0.303151,    -0.922239,            5,     0.092240,     0.906961,     0.790516,     0.542430,            6,     0.214304,     0.476333,     0.952778,    -0.032049,            7,     0.060369,     0.049290,     0.747576,    -0.601628,            8,     0.544488,     0.119281,     0.106205,     1.052091,            9,     0.544368,     0.128320,     0.015837,     0.609567,           10,     0.895085,     0.082230,    -1.328677,    -0.537130,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         6306,           23,     1.000000,            0,            1,     0.874926,     0.069003,    -0.895965,    -1.228490,            2,     0.618986,     0.863608,    -0.418343,    -0.478865,            3,     0.905344,     0.868896,    -1.328319,    -0.487509,            4,     0.263042,     0.778815,    -0.303151,    -0.922239,            5,     0.117741,     0.924459,     0.790516,     0.542430,            6,     0.245039,     0.475300,     0.952778,    -0.032049,            7,     0.084485,     0.029883,     0.747576,    -0.601628,            8,     0.547974,     0.146365,     0.029081,     1.054388,            9,     0.544818,     0.154837,     0.092961,     0.607271,           10,     0.868599,     0.062815,    -0.298103,     0.107891,
      reverse,           10,     0.005000,          sym,       circle,     0.032258,          100,         6306,           23,     1.000000,            0,            1,     0.874926,     0.069003,     0.895965,     1.228490,            2,     0.618986,     0.863608,     0.418343,     0.478865,            3,     0.905344,     0.868896,     1.328319,     0.487509,            4,     0.263042,     0.778815,     0.303151,     0.922239,            5,     0.117741,     0.924459,    -0.790516,    -0.542430,            6,     0.245039,     0.475300,    -0.952778,     0.032049,            7,     0.084485,     0.029883,    -0.747576,     0.601628,            8,     0.547974,     0.146365,    -0.029081,    -1.054388,            9,     0.544818,     0.154837,    -0.092961,    -0.607271,           10,     0.868599,     0.062815,     0.298103,    -0.107891,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         6506,           23,     1.032258,            0,            1,     0.886959,     0.085737,    -0.134609,     0.583469,            2,     0.632481,     0.879056,     0.418343,     0.478865,            3,     0.948193,     0.884622,     1.328319,     0.487509,            4,     0.272821,     0.808564,     0.303151,     0.922239,            5,     0.092240,     0.906961,    -0.790516,    -0.542430,            6,     0.214304,     0.476333,    -0.952778,     0.032049,            7,     0.060369,     0.049290,    -0.747576,     0.601628,            8,     0.544488,     0.119281,    -0.106205,    -1.052091,            9,     0.544368,     0.128320,    -0.015837,    -0.609567,           10,     0.895085,     0.082230,     1.328677,     0.537130,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         6706,           23,     1.064516,            0,            1,     0.910199,     0.097633,     0.853089,    -0.125466,            2,     0.645976,     0.894503,     0.418343,     0.478865,            3,     0.991042,     0.900348,     1.328319,     0.487509,            4,     0.282600,     0.838314,     0.303151,     0.922239,            5,     0.066740,     0.889463,    -0.790516,    -0.542430,            6,     0.183570,     0.477367,    -0.952778,     0.032049,            7,     0.036254,     0.068697,    -0.747576,     0.601628,            8,     0.540994,     0.092723,    -0.178055,    -1.023965,            9,     0.543925,     0.101276,     0.056013,    -0.637693,           10,     0.910363,     0.106482,     0.340980,     1.246065,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         6906,           23,     1.096774,            0,            1,     0.933665,     0.121734,     1.134448,     1.057315,            2,     0.659471,     0.909950,     0.418343,     0.478865,            3,     0.966618,     0.916074,    -1.328319,     0.487509,            4,     0.292379,     0.868064,     0.303151,     0.922239,            5,     0.041239,     0.871965,    -0.790516,    -0.542430,            6,     0.152835,     0.478401,    -0.952778,     0.032049,            7,     0.012139,     0.088105,    -0.747576,     0.601628,            8,     0.537672,     0.066665,    -0.236243,    -0.973293,            9,     0.543310,     0.073732,     0.114201,    -0.688365,           10,     0.925415,     0.118529,     0.059620,     0.063284,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         7106,           23,     1.129032,            0,            1,     0.945752,     0.141415,    -0.066673,     0.869056,            2,     0.672966,     0.925397,     0.418343,     0.478865,            3,     0.923769,     0.931800,    -1.328319,     0.487509,            4,     0.302159,     0.897813,     0.303151,     0.922239,            5,     0.015739,     0.854468,    -0.790516,    -0.542430,            6,     0.122100,     0.479435,    -0.952778,     0.032049,            7,     0.011897,     0.107512,     0.747576,     0.601628,            8,     0.534678,     0.041020,    -0.273975,    -0.905990,            9,     0.542367,     0.045776,     0.151933,    -0.755668,           10,     0.951847,     0.134997,     1.260742,     0.251543,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         7306,           23,     1.161290,            0,            1,     0.966245,     0.152243,     0.563073,    -0.170922,            2,     0.686461,     0.940845,     0.418343,     0.478865,            3,     0.880920,     0.947526,    -1.328319,     0.487509,            4,     0.311938,     0.927563,     0.303151,     0.922239,            5,     0.009364,     0.836970,     0.790516,    -0.542430,            6,     0.091365,     0.480469,    -0.952778,     0.032049,            7,     0.036013,     0.126919,     0.747576,     0.601628,            8,     0.532134,     0.015652,    -0.286848,    -0.829913,            9,     0.540974,     0.017542,     0.164806,    -0.831746,           10,     0.969872,     0.160317,     0.630995,     1.291521,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         7505,           23,     1.193548,            0,            1,     0.991741,     0.174207,     1.286503,     0.806209,            2,     0.699956,     0.956292,     0.418343,     0.478865,            3,     0.838071,     0.963252,    -1.328319,     0.487509,            4,     0.321717,     0.957313,     0.303151,     0.922239,            5,     0.034864,     0.819472,     0.790516,    -0.542430,            6,     0.060630,     0.481503,    -0.952778,     0.032049,            7,     0.060128,     0.146327,     0.747576,     0.601628,            8,     0.530030,     0.009322,     0.163816,     0.809685,            9,     0.539141,     0.010471,    -0.285858,     0.851973,           10,     0.982895,     0.174501,    -0.092434,     0.314390,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         7703,           23,     1.225806,            0,            1,     0.985587,     0.193762,    -0.831692,     0.223116,            2,     0.713451,     0.971739,     0.418343,     0.478865,            3,     0.795222,     0.978978,    -1.328319,     0.487509,            4,     0.331496,     0.987062,     0.303151,     0.922239,            5,     0.060365,     0.801974,     0.790516,    -0.542430,            6,     0.029896,     0.482537,    -0.952778,     0.032049,            7,     0.084244,     0.165734,     0.747576,     0.601628,            8,     0.528525,     0.034617,     0.157720,     0.886963,            9,     0.536710,     0.038778,    -0.279762,     0.774696,           10,     0.994438,     0.191095,    -0.930311,     0.897483,
